Series name,Category,Short description,Description,Featured image,Feature set header 1,Feature set description 1,Feature set image 1,Feature set header 2,Feature set description 2,Feature set image 2,Feature set header 3,Feature set description 3,Feature set image 3,Feature set header 4,Feature set description 4,Feature set image 4,Video 1 name,Video 1,Video 2 name,Video 2,Video 3 name,Video 3,Video 4 name,Video 4,Internal document 1 description,Internal document 1
NX1,Machine controller,,"IoT Ready: OPC UA server built-in as standard feature, variable structures are supported
Database direct connection: SQL client for server Microsoft SQL, Oracle, IBM DB2, MySQL, Firebird, PostgreSQL
Cloud direct connection: MQTT(S) communications are supported using MQTT Communication Library
Database direct connection in V2.0 is expanded with stored procedure calls and secure communications functionality
Large memory for data handling. 33.5 MB for variables
Battery-less controller
Cycle time: from 1 ms
Up to 12 axes (8 synchronized motion axes & 4 PTP)
One unique and synchronized cycle for local & remote I/O, EtherCAT devices and motion control
Multi-tasking controller
Expanded network connectivity, 2x Ethernet ports + 1 EtherCAT
Up to 32 local NX units, including Safety and IO-Link master
Support up to 64 EtherCAT nodes (400xNX units)
EtherCAT Ring topology is supported to maintain communications and control in case of a broken cable or device failure",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/027eab1587fbb42cd33ce955dcd1d3529a4362fcb7404952fcbfd50c80976d1d.png,,,,,,,,,,,,,,,,,,,,,,
"CJ Power Supplies, Expansions",Modular PLC,,,https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/c0b59f7012e412c3926baf1372a94064f5a55f07ee43683a798cf749b810d65a.jpg,,,,,,,,,,,,,,,,,,,,,,
CJ Digital I/O Units,Modular PLC,,,https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/7edaeb610e129b0440cdc03c66fe3e5eb9afb81249be30f077681c38842decd4.jpg,,,,,,,,,,,,,,,,,,,,,,
CJ2,Modular PLC,,"Always accessible through standard USB support
Standard Ethernet port with EtherNet/IP Data Link function
High program capacity from 5K steps up to 400K steps
Higher precision for machine operation and processing quality
Immediate refreshing of basic I/O ensures real-time processing
High data memory capacity of up to 832K words
Serial option board
Dedicated function block memory ensures efficient execution of function block software modules",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/e21deb23f517c8eafcb1c07be88f0bcd65e4c63536ad62125c3dcc9756c437ee.jpg,,,,,,,,,,,,,,,,,,,,,,
CJ Analogue I/O and Control Units,Modular PLC,,,https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/4b4383b9a5b0e1543f2560b3e0c6af5f0d5bd0d347a8ffaaa471f06f2864e389.jpg,,,,,,,,,,,,,,,,,,,,,,
CJ Motion/Position Control Units,Modular PLC,,"Counter Units gather position information from SSI- or incremental encoders. Actual positions are compared with internally stored target values.
CJ2M CPU Units have dedicated positioning functions that can be used by installing up to 2 Pulse I/O option modules.
Position- and Motion Control Units equipped with MECHATROLINK-II interface can control multiple drives through a single high-speed link. Message routing through multiple communication layers allows the attached drives to be configured from any point in the control network.",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/83d23dffe80aa88f6a56058be66133b1d1b102a488c6966cc7dbda40bad772b0.jpg,,,,,,,,,,,,,,,,,,,,,,
CJ Communication Units,Modular PLC,,"Omron supports the 2 major field networks, DeviceNet and PROFIBUS-DP. For high-speed field I/O, Omron's own CompoBus/S offers an unsurpassed ease of installation. Fully user-configurable Serial and CAN-based communication can be used to emulate a variety of application-specific protocols.",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/5d8311260dfe338db9177647e352b699bf349549ecb63031294a95e1d944915f.jpg,,,,,,,,,,,,,,,,,,,,,,
"CS Power Supplies, Backplanes",Rack PLC,,,https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/120a36910a76c616d0e68d9a9fb3e74d72899b551c4738065b3007a85770dc04.jpg,,,,,,,,,,,,,,,,,,,,,,
CS Digital I/O Units,Rack PLC,,,https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/654fe8af208bec3d017a1e0f1bc0a9090b4c1b24177b1bca6f40e06e201a29d9.jpg,,,,,,,,,,,,,,,,,,,,,,
CS Analog and Process I/O Units,Rack PLC,,,https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/84855efb20fedbc39a228a05ef7bd106e498be441162f302e6f93aca69f50983.jpg,,,,,,,,,,,,,,,,,,,,,,
CS Position/Motion Control Units,Rack PLC,,Counter units gather position information from SSI- or incremental encoders. Actual positions are compared with internally stored target values.Position control Units are used for point-to-point positioning with servo drives or stepper motors. Target data and acceleration/deceleration curves can be adjusted on-the-fly.Position- and motion control Units equipped with MECHATROLINK-II interface can control multiple drives through a single high-speed link. Message routing through mutliple communication layers allows the attached drives to be configured from any point in the control network.,https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/f56fd11869339ff4786eb886cf627b729baaf8df810c39ca13ec585f0ad1fae9.jpg,,,,,,,,,,,,,,,,,,,,,,
CS Communication Units,Rack PLC,,"Omron supports the 2 major field networks, DeviceNet and PROFIBUS-DP. For high-speed field I/O, Omron's own CompoBus/S offers an unsurpassed ease of installation. Fully user-configurable Serial and CAN-based communication can be used to emulate a variety of application-specific protocols.",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/25a234b634a48b0aa395662fc1902face84a87c24c161c2f50615288f78c5c7e.jpg,,,,,,,,,,,,,,,,,,,,,,
CS1D,Rack PLC,,"Choose the level of redundancy needed; CPU, power supply, communication
No special programming or software tools required
Hot-swapping of I/O units
All standard CS1 I/O units can be mounted
Ideal for control of power generators, water supply utilities, 24/7 production.",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/c82f3230ee5a5a5b511cbf5c68354e88af00fc4b634efd40950bb65f76a8d8f5.png,,,,,,,,,,,,,,,,,,,,,,
CP1H,Compact PLC,,"Up to 1 MHz for inputs/outputs
CJ1M compatible instruction set and execution speed
4 analog inputs and 2 analog outputs for the XA model 
USB port for easy communication, programming and configuration
Supports PROFIBUS, DeviceNet, CAN and Ethernet",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/c3c5f6e77b93cad1aba056fb6c8a068b27f8ff505fcfbb764eb4655d4080b7eb.jpg,,,,,,,,,,,,,,,,,,,,,,
CP1L,Compact PLC,,,https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/183bbb8fc4b181b333ed9a594cc2067be77433362fb7ee3734c97eeeb5c9769d.jpg,,,,,,,,,,,,,,,,,,,,,,
CP1E,Compact PLC,,"Lineup including CPU Units with built-in three ports: USB, RS-232C, RS-485.
The depth of CPU Units with RS-232C connectors is reduced by 20 mm. (N30/40/60S(1))
Easy connection with computers using commercially available USB cables.
With E30/40/60(S), N30/40/60(S@) or NA20 CPU Units, Add I/O, Analog I/O or Temperature Inputs by Connecting",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/b5116ce61b24c44cc10fb6ed98d24f858929cc9d9f363286f8819b9d5db9b942.jpg,,,,,,,,,,,,,,,,,,,,,,
CP1W Expansion Units,Compact PLC,,,https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/1946ee5314395eb3ad914e4bd1a30640220376568bb9133248203bd4f9805b7f.jpg,,,,,,,,,,,,,,,,,,,,,,
CP2E,Compact PLC,,"Reduced wiring cost and improved communication performances those values are available thanks to built-in 2-ports Ethernet Switch and dedicated Function Blocks. You can save cost of additional hardware and simplify Ethernet connectivity with a daisy chain Ethernet wiring for Machine 2 Machine communication.
Data collection, Control and Monitoring of serial devices is easy: up to 3 serial ports are available.
Improve design efficiency and productivity reducing development time with a modular conception of the machine. CP2E includes 4-axis positioning functions with linear interpolation and Omron Libraries for positioning, Machine 2 Machine communication and predictive maintenance.
Install and forget. Omron CP2E can supply a reliable solution for all environmental conditions: extended operational temperature range, Battery free operation, Input/output terminal LED indicators for quick troubleshooting, Automatic Recovery by electric interferences.
Complete your configuration with NB HMI for a perfect match.",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/71487f8f0dbfd20ca0acbc6880648657a824467c1c1a76dc7216ad5a7a6c2a18.png,,,,,,,,,,,,,,,,,,,,,,
NX I/O Series,Remote I/O,,"Ideal match with Sysmac Machine automation controllers and CJ2-series PLC's
Synchronous I/O updates, system-wide, with less than 1 μs jitter using EtherCAT
High density: up to 16 digital or 8 analog signals in 12 mm width
Removable wiring terminals for easy system assembly and testing",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/3a493b172298efb3ffe35c395df050e7ba5f2af442c52af69fca3e5ff57e1011.jpg,,,,,,,,,,,,,,,,,,,,,,
SmartSlice,Remote I/O,,"Most compact in the market (84 mm high)
Easy set-up, backup and restore functions
Diagnostics and preventive maintenance data at I/O level
Detachable terminal blocks allow hot-swapping without re-wiring
3-wire connection with 'push-in' technology, no screwdriver required for installation",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/1a86031dd9dae93aa43741999ee78ab696cc25348bec6a580b4da8a3f0d494a6.jpg,,,,,,,,,,,,,,,,,,,,,,
GX,Remote I/O,,"Compact size IP20 housing
Expandable digital I/Os
Detachable I/O terminal blocks
Selectable high-speed input response time",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/9836d5a11005e1f5e489266c2b2c31f295c2f9e3593e18a90dffbb563dc9caba.jpg,,,,,,,,,,,,,,,,,,,,,,
GX-ILM,Remote I/O,,"Machine downtime can be reduced.
Abnormality detection for shortest recovery time.
Condition monitoring for predictive maintenance.
Individual identification for reduction of man hours.
GX Series master unit with IP67 protection class for watery and dusty environments as well as NX Series master unit with IP20.
Up to 8 sensors can be connected with one GX Series IO-Link master unit.
Photoelectric and Proximity sensors available.",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/88d8ebcde49170746c5b1b637a37004d168cdfd464c461be60afc1b5676e1670.jpg,,,,,,,,,,,,,,,,,,,,,,
DRT2,Remote I/O,,"Compact size IP20 housing
Expandable digital I/Os
Built-in diagnostics and preventive maintenance functions
Detachable I/O terminal blocks
Analog I/O with data pre-processing and alarm functions",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/36b92da8c3f001a7bcb8e5bab32cebf6a9e3aa237a8140ba27c952aaa1fa060a.jpg,,,,,,,,,,,,,,,,,,,,,,
CRT1,Remote I/O,,"Compact size IP20 housing
Expandable digital I/Os with detachable terminal blocks
Easy network wiring with IDC connections
Built-in diagnostics and preventive maintenance functions
Analogue I/O with data pre-processing and alarm functions",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/0f7bd2c8254cf30e63d98423da710f64a9e25044d56545e7ade25e8dc182de69.jpg,,,,,,,,,,,,,,,,,,,,,,
SRT2,Remote I/O,,"Compact size in IP20 housing
Fast cycle time; less than 1 ms per 256 I/O points
Easy set-up; no software required
Choice of 4- 8- and 16-point Digital I/O; transistor-, and relay models
Analog In/Outputs and customisable modules available",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/199bea04c08d85d3f0c6616c42d3976469a54fea1477aeef11b6b3c4e9101d40.jpg,,,,,,,,,,,,,,,,,,,,,,
DRT2-*C*,Remote I/O,,"IP67 protection, DRT2 versions are also oil- and welding-spatter proof
Internal circuits powered by DeviceNet; fewer connections means less installation errors
Smart Slave functions for diagnostics and preventive maintenance
Indication of broken wire and short-circuit in I/O signals
M12 connectors for fast installation",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/d244ec7c9979c8c912984ac950575e4a943a81db7be96e6f42923328dc3ee17c.jpg,,,,,,,,,,,,,,,,,,,,,,
SRT2-*C*,Remote I/O,,"IP67 protection against dust and water
Fast cycle time; less than 1 ms for 256 I/O points
Easy setup; no software required
Choice of 4- and 8-point Digital I/O
M12 connectors for easy field wiring",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/f0f01e64b8a1eac6a4f66b88e068a09840ae94b3e6327792dc7f6031852b7a02.jpg,,,,,,,,,,,,,,,,,,,,,,
GI-S Series,Remote I/O,,"Safety Remote Digital Blocs
Individual Test Pulses for better diagnostics
CIP-Safety on EtherNet/IP is Supported
Standard-feature EtherNet/IP Communications Port
Separate Power supply for Logic and S-I/O's
Can work as remote Safety I/O's in combination with NX-SL5000 series with NX-CSG320 or NX102 using port 2 A/B",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/2313401dba189b74a6d9f95805126c96823ecf723244195062c2af01de58c4ac.png,,,,,,,,,,,,,,,,,,,,,,
NA series,Integrated HMI,,"Proactive operator/ machine relationship 
Design based on real applications and customer requirements 
Future-proof, scalable platform 
Allows quick reaction
16,777,000 display colors (24 bit full colors) 
High resolution display 
1,280x800 resolution for 12-inch and 15-inch models
800x480 resolution for 7-inch and 9-inch models",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/8e15f7239259dcc650b4f07db2ef2652650fa206975b6888ff0f255fb34ada76.jpg,,,,,,,,,,,,,,,,,,,,,,
NS15/NS12/NS10/NS8,Scalable HMI,,"Perfect clarity and fast switching screens
Extremely long backlight life (up to 50,000 hours)
Support all European languages, Asian and Cyrillic
Easy data logging on compact flash
Large Memory size (60 MB)
Support for several non-Omron PLC's",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/bfa3e210910d588aaeeefaa776c60343e1afa9e2b480223d0a612dccbaa7a513.jpg,,,,,,,,,,,,,,,,,,,,,,
NS5,Scalable HMI,,"Perfect clarity and fast switching screens
Extremely long backlight life (up to 75,000 hours)
Support all European languages, Asian and Cyrillic
Easy data logging on compact flash
Large Memory size (60MB)",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/5fc4cb18549034ea7455a2a656a885a7073db51fed18441ac89009b8437f373b.jpg,,,,,,,,,,,,,,,,,,,,,,
